zone,ward,colony,year,month,mean_ndvi
8,54,2088,2018,1,0.0549450553953647
8,55,253,2018,1,0.1102796534202277
8,55,296,2018,1,0.1679598887761434
8,55,297,2018,1,0.1687597508204417
8,55,303,2018,1,0.2095996977516968
8,55,1972,2018,1,0.1849982385754373
8,56,298,2018,1,0.1756734242291359
8,56,2032,2018,1,0.2584488925484455
8,56,2033,2018,1,0.3722225231128734
10,57,409,2018,1,0.1599201986557549
10,57,454,2018,1,0.2865597210721486
10,57,455,2018,1,0.2564283288043478
10,57,835,2018,1,0.1645256707907638
10,57,1613,2018,1,0.1757763209779179
10,58,272,2018,1,0.2789303084551278
10,58,273,2018,1,0.2784484032870961
10,58,291,2018,1,0.2722912678497516
10,58,292,2018,1,0.1249005857598844
10,58,293,2018,1,0.2005697922435885
10,58,403,2018,1,0.198000841942903
10,58,404,2018,1,0.1587671078948128
10,58,405,2018,1,0.1670538774868737
10,58,406,2018,1,0.1865485543126999
10,58,407,2018,1,0.155563852061396
10,58,408,2018,1,0.1677854730841818
10,58,1652,2018,1,0.1875700040928795
8,59,261,2018,1,0.0534809018634827
8,59,274,2018,1,0.1109552167015561
8,59,1544,2018,1,0.2592132925080401
8,59,1589,2018,1,0.3549591747682486
8,59,1590,2018,1,0.2234488659508845
8,59,1592,2018,1,0.1905304357802763
8,60,294,2018,1,0.1802574876909469
8,60,1556,2018,1,0.1565724021852983
8,60,1557,2018,1,0.1418325537966008
8,60,1558,2018,1,0.1926341355765833
8,60,1559,2018,1,0.1710993571512877
8,60,1560,2018,1,0.172535672002234
8,60,1561,2018,1,0.2544643029688531
8,60,1562,2018,1,0.2083484104701451
8,60,1563,2018,1,0.2276983849796248
8,60,1564,2018,1,0.2129951280659623
8,60,1593,2018,1,0.2227758087192608
8,60,1594,2018,1,0.1770052386868384
8,60,1595,2018,1,0.2312341298928642
8,60,2285,2018,1,0.0576096288859844
8,61,1192,2018,1,0.1049776128269134
8,61,1195,2018,1,0.0998657922403043
8,61,1196,2018,1,0.065659985427936
8,61,1197,2018,1,0.0544451985138141
8,61,1198,2018,1,0.2264245486679289
8,61,1199,2018,1,0.0545701401843873
8,61,1200,2018,1,0.0854416830826742
8,61,1201,2018,1,0.0766952805040616
8,61,1202,2018,1,0.03703168706247
8,61,1204,2018,1,0.0697898142265551
8,61,1206,2018,1,0.1852433256815392
8,62,271,2018,1,0.0969670692341492
8,62,285,2018,1,0.1324850745467157
8,62,286,2018,1,0.1995335056470788
8,62,287,2018,1,0.2370984420299955
8,62,957,2018,1,0.1441062794764268
8,62,1194,2018,1,0.1635245680091757
8,62,1203,2018,1,0.0517568706725695
8,62,1339,2018,1,0.1088074837022155
8,62,1340,2018,1,0.1136040001650936
8,62,1341,2018,1,0.1448146068253819
8,62,1342,2018,1,0.1387695598546426
8,63,257,2018,1,0.2480870760404146
8,63,258,2018,1,0.1670793518227449
8,63,259,2018,1,0.1702564435127453
8,63,262,2018,1,0.2146090018649061
8,63,263,2018,1,0.1955801337826094
8,63,264,2018,1,0.2216715912840682
8,63,265,2018,1,0.2067789646173944
8,63,266,2018,1,0.1817434612656193
8,63,267,2018,1,0.1688886161048572
8,63,268,2018,1,0.2318401952963183
8,63,269,2018,1,0.148602675188227
8,63,270,2018,1,0.1268616933671255
8,63,284,2018,1,0.1536219260271857
8,63,288,2018,1,0.1596998921791816
8,63,289,2018,1,0.1281805071914405
8,63,290,2018,1,0.1433199529778467
8,63,295,2018,1,0.1788448850140301
8,63,958,2018,1,0.0526181810496308
8,63,1591,2018,1,0.2314619502314814
8,63,2324,2018,1,-0.0337220281362533
8,64,867,2018,1,0.2177821333690356
8,64,1154,2018,1,0.1705275624654793
8,64,1588,2018,1,0.1628317427400402
8,65,301,2018,1,0.3546702221654952
8,65,868,2018,1,0.1686119742656588
8,65,1930,2018,1,0.236965552510669
8,65,1931,2018,1,0.225696231617647
8,66,275,2018,1,0.3009558985996691
8,66,276,2018,1,0.1718402688688631
8,66,299,2018,1,0.2108707738310583
8,66,300,2018,1,0.274273447746778
8,66,665,2018,1,0.209446366124117
8,66,666,2018,1,0.2068973580318099
8,66,1599,2018,1,0.311402048298977
8,67,1205,2018,1,0.241595828534537
8,67,1207,2018,1,0.1843844043965242
8,67,1711,2018,1,0.1131933337542844
8,67,1712,2018,1,0.0761994912590779
8,68,364,2018,1,0.08303925822155
8,68,944,2018,1,0.2203542070627388
11,69,337,2018,1,0.1280364990234375
11,69,838,2018,1,0.1643714706103007
11,69,862,2018,1,0.1037451194150604
11,69,946,2018,1,0.2489922310621753
11,69,1674,2018,1,0.2939324196207398
11,69,1675,2018,1,0.2418126697781719
11,69,2131,2018,1,0.0670769214630127
11,69,2289,2018,1,0.0490988194942474
6,70,335,2018,1,0.1271438598632812
6,70,336,2018,1,0.1108733101125143
6,70,347,2018,1,0.149969527970499
6,70,348,2018,1,0.0816552321116129
6,70,351,2018,1,0.1588616545898695
6,70,667,2018,1,0.1046836699672679
6,70,940,2018,1,0.1983271785668137
6,70,1415,2018,1,0.1160884174547697
6,70,1416,2018,1,0.1231606820913461
6,70,1418,2018,1,0.1216346695578309
6,71,329,2018,1,0.1459422274502841
6,71,330,2018,1,0.101892475561469
6,71,331,2018,1,0.1476354496892565
6,71,332,2018,1,0.1200035533865864
6,71,664,2018,1,0.1996787175853702
6,71,1600,2018,1,0.1505305391950383
6,71,1602,2018,1,0.2147163235042062
6,72,346,2018,1,0.3046238184596196
6,72,1379,2018,1,0.1997738216088674
6,72,1453,2018,1,0.1503570493587777
6,72,1454,2018,1,0.1600571642239523
6,72,1491,2018,1,0.1298175837132278
6,72,1601,2018,1,0.185971373065388
11,73,357,2018,1,0.2243215104807978
11,73,853,2018,1,0.2860433489572396
11,73,943,2018,1,0.1832313299664336
11,73,2329,2018,1,0.3156518936157226
12,74,345,2018,1,0.152907758889739
12,74,352,2018,1,0.0917020311542585
12,74,353,2018,1,0.1587931746143405
12,74,681,2018,1,0.0899472265887114
12,74,1189,2018,1,0.0973063461653148
12,74,1190,2018,1,0.2021997200347453
12,74,1211,2018,1,0.0969904224167965
12,74,1212,2018,1,0.1697992270991393
12,74,1255,2018,1,0.1234911463693706
12,74,1256,2018,1,0.151944843405423
12,74,1257,2018,1,0.0884742882601015
12,74,1609,2018,1,0.1399982811779494
12,74,1610,2018,1,0.0978375635329325
12,74,1763,2018,1,0.1225008326252614
12,74,1764,2018,1,0.1913038114222084
12,74,1765,2018,1,0.0745828321116429
12,74,1766,2018,1,0.132856267743406
12,74,1767,2018,1,0.1109271922799331
12,74,2250,2018,1,0.0641025677323341
11,75,646,2018,1,0.1664239907566505
11,75,647,2018,1,0.1201285236286667
11,75,648,2018,1,0.1884087586018673
