,district_code,district,year,month,lst,night_lst,ndvi,total_population,built_up_area_sq_m,built_up_area_sq_km
3706,17748,Shahdol,2022,11,26.281286012694984,15.890000000000027,0.5498601275689136,1548805.2,70220650.44705881,70.22065044705882
3707,17748,Shahdol,2022,12,24.08988650296705,14.850880327060455,0.5021665981832852,1548805.2,70220650.44705881,70.22065044705882
3708,17748,Shahdol,2023,1,24.5367893724448,14.805350778029018,0.4704178479982467,1562482.8,72811346.52156861,72.81134652156861
3709,17748,Shahdol,2023,2,29.68718120262165,16.526400448143438,0.413627200669343,1562482.8,72811346.52156861,72.81134652156861
3710,17748,Shahdol,2023,3,34.261829311449326,18.568700049474817,0.3780444813968085,1562482.8,72811346.52156861,72.81134652156861
3711,17748,Shahdol,2023,4,40.150582557542855,19.59686262861923,0.3605433517684724,1562482.8,72811346.52156861,72.81134652156861
3712,17748,Shahdol,2023,5,40.04650379801544,19.69649672804752,0.3809826296732307,1562482.8,72811346.52156861,72.81134652156861
3713,17748,Shahdol,2023,6,41.47080875084833,27.5313619543934,0.3803508078401811,1562482.8,72811346.52156861,72.81134652156861
3714,17748,Shahdol,2023,7,31.692802848314862,23.080064108094103,0.494709107518738,1562482.8,72811346.52156861,72.81134652156861
3715,17748,Shahdol,2023,8,30.16160603298997,22.064391425344585,0.5783510964827899,1562482.8,72811346.52156861,72.81134652156861
3716,17748,Shahdol,2023,9,28.69980006388868,20.922877481337,0.6809044027996568,1562482.8,72811346.52156861,72.81134652156861
3717,17748,Shahdol,2023,10,28.68470060168968,20.62750000000001,0.6173408021723069,1562482.8,72811346.52156861,72.81134652156861
3718,17748,Shahdol,2023,11,27.464025078440105,15.578938794598525,0.5094473199591077,1562482.8,72811346.52156861,72.81134652156861
3719,17748,Shahdol,2023,12,21.970848048383097,13.607824812822802,0.512933110673832,1562482.8,72811346.52156861,72.81134652156861
3720,17748,Shahdol,2024,1,22.2343220658587,12.753602476078823,0.4973187046901176,1576160.4,75402042.59607843,75.40204259607843
3721,17748,Shahdol,2024,2,26.457747379016272,16.191751239216757,0.4607799322434532,1576160.4,75402042.59607843,75.40204259607843
3722,17748,Shahdol,2024,3,33.55404862338094,21.44082180871277,0.3889772655514903,1576160.4,75402042.59607843,75.40204259607843
3723,17748,Shahdol,2024,4,41.81862390605796,20.256465893180938,0.3471567990851505,1576160.4,75402042.59607843,75.40204259607843
3724,17748,Shahdol,2024,5,38.22866633775209,26.37012650507529,0.3548749436678485,1576160.4,75402042.59607843,75.40204259607843
3725,17748,Shahdol,2024,6,39.1758682482116,25.6998259940067,0.3791388609839045,1576160.4,75402042.59607843,75.40204259607843
3726,17748,Shahdol,2024,7,29.920510191826008,23.16585519521699,0.399068294077896,1576160.4,75402042.59607843,75.40204259607843
3727,17748,Shahdol,2024,8,27.84493834869052,23.61488056012169,0.539263708399334,1576160.4,75402042.59607843,75.40204259607843
3728,17748,Shahdol,2024,9,27.919927582839943,20.881326690828075,0.6652750874869063,1576160.4,75402042.59607843,75.40204259607843
3729,17748,Shahdol,2024,10,28.279181093270484,20.92387849128673,0.6163744318858868,1576160.4,75402042.59607843,75.40204259607843
3730,17748,Shahdol,2024,11,24.70318901563284,14.595714285714308,0.5139699373839619,1576160.4,75402042.59607843,75.40204259607843
3731,17748,Shahdol,2024,12,21.873389158392204,15.262307700562332,0.4987479988765455,1576160.4,75402042.59607843,75.40204259607843
3732,17748,Shahdol,2025,1,21.38372221016777,10.984447018252784,0.4964800722280087,1589838.0,77992738.67058823,77.99273867058822
3733,17748,Shahdol,2025,2,27.34466663825261,18.897153453555656,0.4216912053071205,1589838.0,77992738.67058823,77.99273867058822
3734,17748,Shahdol,2025,3,34.11318787906961,20.375397643870706,0.366598074760202,1589838.0,77992738.67058823,77.99273867058822
3735,17748,Shahdol,2025,4,39.1016799093504,24.72333333333336,0.3243627707026534,1589838.0,77992738.67058823,77.99273867058822
3736,17748,Shahdol,2025,5,35.98656776844423,24.84072626413424,0.3827418559879367,1589838.0,77992738.67058823,77.99273867058822
3737,17748,Shahdol,2025,6,38.62631632535335,24.180567075402408,0.2932277507393019,1589838.0,77992738.67058823,77.99273867058822
3738,17748,Shahdol,2025,7,28.25143158880166,22.986891955426103,0.4968249885434245,1589838.0,77992738.67058823,77.99273867058822
3739,17748,Shahdol,2025,8,27.81268586422305,23.15878793338966,0.6054551280758583,1589838.0,77992738.67058823,77.99273867058822
3740,17748,Shahdol,2025,9,26.55326949383804,21.03066871260329,0.704320577332874,1589838.0,77992738.67058823,77.99273867058822
3741,17748,Shahdol,2025,10,26.91269328893851,19.98129422577688,0.6764124922040025,1589838.0,77992738.67058823,77.99273867058822
3742,17748,Shahdol,2025,11,21.34178651381608,16.57625648201502,0.5828852726373851,1589838.0,77992738.67058823,77.99273867058822
3743,17748,Shahdol,2025,12,18.30320041570656,11.96771811565718,0.5329093554941192,1589838.0,77992738.67058823,77.99273867058822
3744,17749,Shajapur,2018,1,27.40465446879361,12.578000000000026,0.5946506770804378,1730180.0,47098226.767843135,47.09822676784314
3745,17749,Shajapur,2018,2,33.44860958351778,12.158697727272756,0.4256180777230525,1730180.0,47098226.767843135,47.09822676784314
3746,17749,Shajapur,2018,3,43.5776638000356,21.08555555555559,0.2644014707008645,1730180.0,47098226.767843135,47.09822676784314
3747,17749,Shajapur,2018,4,48.69571377063374,22.080559173480896,0.2249247336604553,1730180.0,47098226.767843135,47.09822676784314
3748,17749,Shajapur,2018,5,48.280644218531286,28.46371753246756,0.2008045552523123,1730180.0,47098226.767843135,47.09822676784314
3749,17749,Shajapur,2018,6,40.14060264650581,23.24169741286562,0.2773896221108969,1730180.0,47098226.767843135,47.09822676784314
3750,17749,Shajapur,2018,7,33.25262178694859,16.506747822607966,0.313859125576945,1730180.0,47098226.767843135,47.09822676784314
3751,17749,Shajapur,2018,8,25.328777711953222,17.493588258261457,0.4299344082540161,1730180.0,47098226.767843135,47.09822676784314
3752,17749,Shajapur,2018,9,35.06498876247302,18.857862469224266,0.524272319892978,1730180.0,47098226.767843135,47.09822676784314
3753,17749,Shajapur,2018,10,39.009205593285735,19.84714285714289,0.3641363052255226,1730180.0,47098226.767843135,47.09822676784314
3754,17749,Shajapur,2018,11,33.63336930744752,12.365849664429565,0.4311768322081791,1730180.0,47098226.767843135,47.09822676784314
3755,17749,Shajapur,2018,12,24.436945997313337,9.784630179481526,0.5974139656808601,1730180.0,47098226.767843135,47.09822676784314
3756,17749,Shajapur,2019,1,23.79965324608713,9.747496594362383,0.6017006080058767,1748116.0,48301508.16235294,48.30150816235295
3757,17749,Shajapur,2019,2,30.06779680208184,16.048054875917533,0.4788991712808214,1748116.0,48301508.16235294,48.30150816235295
3758,17749,Shajapur,2019,3,41.32711671559384,16.822812919946273,0.2813985853894177,1748116.0,48301508.16235294,48.30150816235295
3759,17749,Shajapur,2019,4,48.076832621130194,23.43571428571432,0.2289755875281512,1748116.0,48301508.16235294,48.30150816235295
3760,17749,Shajapur,2019,5,49.39890430131126,26.38105425581946,0.2148486000174925,1748116.0,48301508.16235294,48.30150816235295
3761,17749,Shajapur,2019,6,45.691862250439904,26.065101982370724,0.2400020524476204,1748116.0,48301508.16235294,48.30150816235295
3762,17749,Shajapur,2019,7,37.621947293951095,20.50904004631409,0.4495179107881451,1748116.0,48301508.16235294,48.30150816235295
3763,17749,Shajapur,2019,8,26.87877989497744,19.1974181708506,0.4760281921518526,1748116.0,48301508.16235294,48.30150816235295
3764,17749,Shajapur,2019,9,30.32236287451977,21.3982959683497,0.4893698987108568,1748116.0,48301508.16235294,48.30150816235295
3765,17749,Shajapur,2019,10,32.94278413142897,17.21457750392264,0.4728469705523371,1748116.0,48301508.16235294,48.30150816235295
3766,17749,Shajapur,2019,11,32.34379641877768,19.58603409752042,0.4407107977237647,1748116.0,48301508.16235294,48.30150816235295
3767,17749,Shajapur,2019,12,23.83970093164541,9.644266887395764,0.6274351596697527,1748116.0,48301508.16235294,48.30150816235295
3768,17749,Shajapur,2020,1,22.08231588597309,10.646147212257851,0.7138836174773041,1766052.0,49504789.55686274,49.50478955686274
3769,17749,Shajapur,2020,2,28.700396555038232,15.928181818181848,0.6654215082138928,1766052.0,49504789.55686274,49.50478955686274
3770,17749,Shajapur,2020,3,36.10701740338068,18.33434650894089,0.3809777494846896,1766052.0,49504789.55686274,49.50478955686274
3771,17749,Shajapur,2020,4,46.790225057637954,20.99777780542221,0.2521773105508759,1766052.0,49504789.55686274,49.50478955686274
3772,17749,Shajapur,2020,5,49.73008453168065,25.18414291228827,0.2313835177326141,1766052.0,49504789.55686274,49.50478955686274
3773,17749,Shajapur,2020,6,38.28823127239958,23.69191567139578,0.3460913418515453,1766052.0,49504789.55686274,49.50478955686274
3774,17749,Shajapur,2020,7,32.56455094217805,23.20734617890978,0.6675563119842928,1766052.0,49504789.55686274,49.50478955686274
3775,17749,Shajapur,2020,8,29.676287132935578,20.567921705350937,0.5576502753745843,1766052.0,49504789.55686274,49.50478955686274
3776,17749,Shajapur,2020,9,34.81211230247604,21.809226499514903,0.5325052410317109,1766052.0,49504789.55686274,49.50478955686274
3777,17749,Shajapur,2020,10,37.06267420725972,22.072854094443027,0.3645274777647584,1766052.0,49504789.55686274,49.50478955686274
3778,17749,Shajapur,2020,11,30.43245277224543,16.82000000000002,0.5069622744117915,1766052.0,49504789.55686274,49.50478955686274
3779,17749,Shajapur,2020,12,24.095391413983418,12.95148126139436,0.607740697200172,1766052.0,49504789.55686274,49.50478955686274
3780,17749,Shajapur,2021,1,24.63920376775624,16.000762879362977,0.672685072417423,1781109.0,50453755.214901954,50.45375521490195
3781,17749,Shajapur,2021,2,31.55570162887277,13.460566235581991,0.5129285275212687,1781109.0,50453755.214901954,50.45375521490195
3782,17749,Shajapur,2021,3,41.32335368523786,18.32964417358826,0.280675900791441,1781109.0,50453755.214901954,50.45375521490195
3783,17749,Shajapur,2021,4,46.440693803550246,21.34006092484676,0.2308291113501104,1781109.0,50453755.214901954,50.45375521490195
3784,17749,Shajapur,2021,5,47.16359803889237,23.71054739661553,0.2454911730529388,1781109.0,50453755.214901954,50.45375521490195
3785,17749,Shajapur,2021,6,38.68898119534063,21.95435513885152,0.3020332085936887,1781109.0,50453755.214901954,50.45375521490195
3786,17749,Shajapur,2021,7,39.72433155430055,24.712834457525894,0.3549829175141817,1781109.0,50453755.214901954,50.45375521490195
3787,17749,Shajapur,2021,8,28.56633225295152,20.804462838245417,0.5490495737671697,1781109.0,50453755.214901954,50.45375521490195
3788,17749,Shajapur,2021,9,32.28967445293829,21.2376494585624,0.5071574848868989,1781109.0,50453755.214901954,50.45375521490195
3789,17749,Shajapur,2021,10,33.973401035262825,21.641428571428605,0.4827419539471494,1781109.0,50453755.214901954,50.45375521490195
3790,17749,Shajapur,2021,11,30.82448650302504,17.59577998613359,0.4320813835069493,1781109.0,50453755.214901954,50.45375521490195
3791,17749,Shajapur,2021,12,24.10921312857079,12.27718900859759,0.598453693785688,1781109.0,50453755.214901954,50.45375521490195
3792,17749,Shajapur,2022,1,21.99074405963622,12.857832220934444,0.6888665568885657,1796166.0,51402720.872941166,51.40272087294117
3793,17749,Shajapur,2022,2,27.9042893970294,13.176250000000024,0.5906794781374832,1796166.0,51402720.872941166,51.40272087294117
