district_code,district,year,built_up_area_sq_m,built_up_area_sq_km,month
17755,Vidisha,2019,39883779.454117656,39.88377945411766,9
17755,Vidisha,2019,39883779.454117656,39.88377945411766,10
17755,Vidisha,2019,39883779.454117656,39.88377945411766,11
17755,Vidisha,2019,39883779.454117656,39.88377945411766,12
17755,Vidisha,2020,40824874.88627452,40.824874886274515,1
17755,Vidisha,2020,40824874.88627452,40.824874886274515,2
17755,Vidisha,2020,40824874.88627452,40.824874886274515,3
17755,Vidisha,2020,40824874.88627452,40.824874886274515,4
17755,Vidisha,2020,40824874.88627452,40.824874886274515,5
17755,Vidisha,2020,40824874.88627452,40.824874886274515,6
17755,Vidisha,2020,40824874.88627452,40.824874886274515,7
17755,Vidisha,2020,40824874.88627452,40.824874886274515,8
17755,Vidisha,2020,40824874.88627452,40.824874886274515,9
17755,Vidisha,2020,40824874.88627452,40.824874886274515,10
17755,Vidisha,2020,40824874.88627452,40.824874886274515,11
17755,Vidisha,2020,40824874.88627452,40.824874886274515,12
