district_code,district,year,month,lst,night_lst
17733,Mandsaur,2017.0,6.0,41.567898783791705,25.49606692483371
17734,Morena,2017.0,6.0,43.64432427519956,26.58575431758146
17741,Rajgarh,2017.0,6.0,42.0643888111414,24.790689453823248
17756,West Nimar,2017.0,6.0,38.65378913268914,24.678150322544358
70170,Barwani,2017.0,6.0,38.27265609562041,25.14022579385911
70172,Dindori,2017.0,6.0,39.67898860220363,23.24370929095529
70173,Harda,2017.0,6.0,41.733513142620495,25.998110236220505
70174,Katni,2017.0,6.0,41.11432962269301,24.76237576468756
70175,Neemuch,2017.0,6.0,41.40759099078634,26.733815053918597
70176,Sheopur,2017.0,6.0,43.305843816208665,26.855934513034853
70177,Umaria,2017.0,6.0,39.37323472282893,24.191925452189558
17725,East Nimar,2017.0,6.0,39.647059188843365,24.632907078711533
17726,Guna,2017.0,6.0,42.74533266259219,24.979922720869435
17748,Shahdol,2017.0,6.0,40.07590876841304,23.462581560062294
70168,Anuppur,2017.0,6.0,40.775628655722045,23.654488273600837
70169,Ashoknagar,2017.0,6.0,41.09117660055262,24.1178115392529
17712,Balaghat,2017.0,6.0,37.75087297059288,25.08728510675363
17714,Betul,2017.0,6.0,39.45245244435479,24.253176368067475
17715,Bhind,2017.0,6.0,44.107514937653,26.996004121594712
17716,Bhopal,2017.0,6.0,40.01612940740025,26.136025215855575
17718,Chhatarpur,2017.0,6.0,42.92233638004635,26.00138643596183
17719,Chhindwara,2017.0,6.0,41.22052212251152,23.916075098716078
17720,Damoh,2017.0,6.0,43.22437420890305,26.087879418085663
17721,Datia,2017.0,6.0,43.09435905261189,27.214170165127385
17722,Dewas,2017.0,6.0,40.48523622283535,26.109888596927657
17723,Dhar,2017.0,6.0,37.85915953355691,25.25376577106776
17727,Gwalior,2017.0,6.0,42.439236322662815,27.620459541926927
17729,Indore,2017.0,6.0,38.06666631964353,23.478450354180065
17731,Jhabua,2017.0,6.0,36.919527138429736,24.54866000512071
17735,Narsinghpur,2017.0,6.0,41.00361006175918,25.741509537612984
17736,Panna,2017.0,6.0,42.61389716274484,25.471492480850404
17739,Raisen,2017.0,6.0,40.99610785761611,25.7258803136679
17742,Ratlam,2017.0,6.0,39.60737696497752,24.219812532419667
17743,Rewa,2017.0,6.0,43.565902313780626,25.170029136151854
