zone,year,month,built_up_percent,method
4,2020,7,64.7732001664586,computed
5,2020,7,69.81540084388186,computed
6,2020,7,52.8268300732637,computed
7,2020,7,21.8434502180295,computed
8,2020,7,66.57260381000528,computed
9,2020,7,28.085786432875803,computed
10,2020,7,71.55982471856154,computed
11,2020,7,75.1563004490886,computed
12,2020,7,83.30421778004113,computed
1,2020,8,80.02838648631212,computed
2,2020,8,72.0098224813665,computed
3,2020,8,32.90230643705386,computed
4,2020,8,64.7732001664586,computed
5,2020,8,69.81540084388186,computed
6,2020,8,52.8268300732637,computed
7,2020,8,21.8434502180295,computed
8,2020,8,66.57260381000528,computed
9,2020,8,28.085786432875803,computed
10,2020,8,71.55982471856154,computed
11,2020,8,75.1563004490886,computed
12,2020,8,83.30421778004113,computed
1,2020,9,80.02838648631212,computed
2,2020,9,72.0098224813665,computed
3,2020,9,32.90230643705386,computed
4,2020,9,64.7732001664586,computed
5,2020,9,69.81540084388186,computed
6,2020,9,52.8268300732637,computed
7,2020,9,21.8434502180295,computed
8,2020,9,66.57260381000528,computed
9,2020,9,28.085786432875803,computed
10,2020,9,71.55982471856154,computed
11,2020,9,75.1563004490886,computed
12,2020,9,83.30421778004113,computed
1,2020,10,80.02838648631212,computed
2,2020,10,72.0098224813665,computed
3,2020,10,32.90230643705386,computed
4,2020,10,64.7732001664586,computed
5,2020,10,69.81540084388186,computed
6,2020,10,52.8268300732637,computed
7,2020,10,21.8434502180295,computed
8,2020,10,66.57260381000528,computed
9,2020,10,28.085786432875803,computed
10,2020,10,71.55982471856154,computed
11,2020,10,75.1563004490886,computed
12,2020,10,83.30421778004113,computed
1,2020,11,80.02838648631212,computed
2,2020,11,72.0098224813665,computed
3,2020,11,32.90230643705386,computed
4,2020,11,64.7732001664586,computed
5,2020,11,69.81540084388186,computed
6,2020,11,52.8268300732637,computed
7,2020,11,21.8434502180295,computed
8,2020,11,66.57260381000528,computed
9,2020,11,28.085786432875803,computed
10,2020,11,71.55982471856154,computed
11,2020,11,75.1563004490886,computed
12,2020,11,83.30421778004113,computed
1,2020,12,80.02838648631212,computed
2,2020,12,72.0098224813665,computed
3,2020,12,32.90230643705386,computed
4,2020,12,64.7732001664586,computed
5,2020,12,69.81540084388186,computed
6,2020,12,52.8268300732637,computed
7,2020,12,21.8434502180295,computed
8,2020,12,66.57260381000528,computed
9,2020,12,28.085786432875803,computed
10,2020,12,71.55982471856154,computed
11,2020,12,75.1563004490886,computed
12,2020,12,83.30421778004113,computed
1,2021,1,83.54250446226963,computed
2,2021,1,79.04760874503738,computed
3,2021,1,32.6905331231315,computed
4,2021,1,67.21137268890078,computed
5,2021,1,74.93495077355837,computed
6,2021,1,56.11100718815866,computed
7,2021,1,23.188314690729264,computed
8,2021,1,69.30383528276306,computed
9,2021,1,29.162818792092654,computed
10,2021,1,75.17812121939733,computed
11,2021,1,79.10319254062833,computed
12,2021,1,86.69752270690844,computed
1,2021,2,83.54250446226963,computed
2,2021,2,79.04760874503738,computed
3,2021,2,32.6905331231315,computed
4,2021,2,67.21137268890078,computed
5,2021,2,74.93495077355837,computed
6,2021,2,56.11100718815866,computed
7,2021,2,23.188314690729264,computed
8,2021,2,69.30383528276306,computed
9,2021,2,29.162818792092654,computed
10,2021,2,75.17812121939733,computed
11,2021,2,79.10319254062833,computed
12,2021,2,86.69752270690844,computed
1,2021,3,83.54250446226963,computed
2,2021,3,79.04760874503738,computed
3,2021,3,32.6905331231315,computed
4,2021,3,67.21137268890078,computed
5,2021,3,74.93495077355837,computed
6,2021,3,56.11100718815866,computed
7,2021,3,23.188314690729264,computed
8,2021,3,69.30383528276306,computed
9,2021,3,29.162818792092654,computed
10,2021,3,75.17812121939733,computed
11,2021,3,79.10319254062833,computed
12,2021,3,86.69752270690844,computed
1,2021,4,83.54250446226963,computed
2,2021,4,79.04760874503738,computed
3,2021,4,32.6905331231315,computed
4,2021,4,67.21137268890078,computed
5,2021,4,74.93495077355837,computed
6,2021,4,56.11100718815866,computed
7,2021,4,23.188314690729264,computed
8,2021,4,69.30383528276306,computed
9,2021,4,29.162818792092654,computed
10,2021,4,75.17812121939733,computed
11,2021,4,79.10319254062833,computed
12,2021,4,86.69752270690844,computed
1,2021,5,83.54250446226963,computed
2,2021,5,79.04760874503738,computed
3,2021,5,32.6905331231315,computed
4,2021,5,67.21137268890078,computed
5,2021,5,74.93495077355837,computed
6,2021,5,56.11100718815866,computed
7,2021,5,23.188314690729264,computed
8,2021,5,69.30383528276306,computed
9,2021,5,29.162818792092654,computed
10,2021,5,75.17812121939733,computed
11,2021,5,79.10319254062833,computed
12,2021,5,86.69752270690844,computed
1,2021,6,83.54250446226963,computed
2,2021,6,79.04760874503738,computed
3,2021,6,32.6905331231315,computed
4,2021,6,67.21137268890078,computed
5,2021,6,74.93495077355837,computed
6,2021,6,56.11100718815866,computed
7,2021,6,23.188314690729264,computed
8,2021,6,69.30383528276306,computed
9,2021,6,29.162818792092654,computed
